_ime,_kvadratura,_lat,_lon,_Telefon,_tipOglas,_Cena
Se izdava ekskluziven lokal 125m vo Debar Maalo Top lokacija,125,41.9991192148524,21.423696577549,075234916,Се изнајмува,По Договор
СЕ ИЗДАВА ДУЌАН ВО ЦЕНТАРОТ НА СКОПЈЕ,122,41.993257623055,21.4306454813695,070211142,Се изнајмува,1 €
Се издава деловен простор,51,41.9793655612499,21.4410715663452,071291306,Се продава,1 €
Se iznajmuva deloven prostor vo centar na Skopje,49,41.978187,21.427388,077641410,Се продава,450 €
Se prodava deloven prostor vo naselba Kisela Voda,50,41.931839,21.502835,077641410,Се продава,60.000 €
IZDAVAM deloven prostor BUNJAKOVEC CENTAR,40,41.9870695865131,21.4519291484375,070466666,Се изнајмува,По Договор
Деловен простор,70,41.991502,21.39781,+38979333103,Се продава,140.000 €
DUKAN NA AVTOBUSKATA STANICA KAJ HOTEL KONTINENTAL,5,42.00877,21.45126,071599502,Се продава,По Договор
Деловен објект / Deloven objekt,16,42.0013126557596,21.4235685335443,070-673-202,Се изнајмува,200 €
Deloven prostor,55,42.0056922696675,21.4157877230663,076242757,Се изнајмува,250 €
Се издава/Jepet me qira,46,42.0210656193434,21.4424854516983,070249586,Се изнајмува,3 €
Се издава дуќан на одлична локација,71,41.985337557259,21.4671727652736,071242149,Се изнајмува,400 €
Se iznajmuva dukjan/deloven prostor,48,41.9969515990806,21.4255828546137,070389557,Се изнајмува,10 €
Se izdava dukan vo topansko pole,36,41.993825,21.436139,070967307,Се изнајмува,160 €
Се издава дуќан до нова железничка станица,16,41.949632,21.502494,070200222,Се изнајмува,90 €
Se izdava deloven pros vo n.Drachevo vednash do apteka ZEGIN,31,41.9384163140825,21.5150284767151,070444844,Се продава,200 €
Продавам,Издавам дуќан ГТЦ-приземје,48,41.9947869194416,21.4357006257034,076205205,Се продава,1 €
Издавам деловен простор во т.ц. Лептокарија,25,42.0035006259494,21.3987899001418,071276006,Се изнајмува,10.000 МКД
Izdavam dukan,37,41.9871250380677,21.4675647300048,075227851,Се изнајмува,По Договор
SE IZDAVA DUKJAN VO SKOPJE OD 25M2,25,41.9817433827955,21.3993399792421,070643494 . 078433366 .. 070808484.. 078433355,Се продава,13.000 МКД
Се издава дуќан во ТЦ Буњаковец,25,41.9987354515165,21.4208375868012,075360910,Се изнајмува,150 €
Издавам дуќан во ТЦ Скопјанка - Аеродром,30,41.988543565266,21.4517466054382,071276427,Се изнајмува,300 €
